投手名稱,ERA+,tERA+,總出賽數,季末出賽
德保拉,120.3,120.8,2,0
徐基麟,109.8,110.2,3,0
艾速特,132.3,132.8,2,0
猛登,128.0,128.5,2,0
魏碩成,61.0,61.2,3,0
