投手名稱,ERA+,tERA+,總出賽數,季末出賽
勝騎士,147.6,137.0,3,1
羅昂,132.4,122.9,2,0
布雷克,142.0,131.8,2,0
林詔恩,96.2,89.3,1,0
古林睿煬,221.4,205.6,2,0
潘威倫,53.7,49.9,1,0
