投手名稱,ERA+,tERA+,總出賽數,季末出賽
陳宇宏,81.5,92.0,1,0
後勁,179.6,202.6,3,1
哈瑪星,129.8,146.5,2,0
江承諺,106.8,120.5,1,0
王柏傑,160.3,180.9,1,0
陳柏清,103.9,117.3,2,0
鳥松,80.8,91.2,1,0
郭俞延,63.1,71.2,1,1
