投手名稱,ERA+,tERA+,總出賽數,季末出賽
陳仕朋,99.7,101.2,13,1
戈威士,59.4,60.3,5,0
布藍登,68.6,69.6,12,2
羅戈,169.6,172.2,15,1
江國豪,73.5,74.6,10,2
黃保羅,87.4,88.7,3,0
道鉑戈,0.0,0.0,1,0
游霆崴,124.9,126.8,3,1
