投手名稱,ERA+,tERA+,總出賽數,季末出賽數
威能帝,171.4,166.8,3,1
黃子鵬,84.8,82.6,3,1
霸鉧德,72.6,70.6,2,1
魔神樂,137.6,133.9,3,1
波賽樂,88.7,86.3,1,0
