投手名稱,ERA+,tERA+,總出賽數,季末出賽
魏碩成,61.0,61.2,1,0
德保拉,120.3,120.8,1,0
克迪,133.1,133.6,2,0
艾速特,132.3,132.8,1,0
猛登,128.0,128.5,2,0
盧孟揚,63.4,63.6,1,0
魔力藍,163.0,163.6,1,0
象騎士,94.0,94.4,1,0
徐基麟,109.8,110.2,1,1
余謙,71.1,71.4,1,1
