投手名稱,ERA+,tERA+,總出賽數,季末出賽
黃子鵬,104.5,105.0,3,1
威能帝,104.7,105.3,4,1
曾仁和,57.5,57.8,1,0
霸威斯,88.4,88.9,2,1
魔神樂,179.3,180.2,2,1
邱駿威,74.1,74.4,1,0
楊彬,42.9,43.1,1,0
陳鴻文,88.3,88.7,1,1
