投手名稱,ERA+,tERA+,總出賽數,季末出賽
布雷克,142.0,131.8,2,0
勝騎士,147.6,137.0,2,1
古林睿煬,221.4,205.6,3,1
胡智爲,73.3,68.1,1,0
羅昂,132.4,122.9,1,0
林詔恩,96.2,89.3,1,0
郭俊麟,77.4,71.9,2,2
