投手名稱,ERA+,tERA+,總出賽數,季末出賽
艾璞樂,133.4,123.0,5,1
王維中,92.1,84.9,3,1
鋼龍,122.9,113.3,1,0
伍鐸,109.9,101.3,2,2
曹祐齊,258.1,237.9,1,1
