投手名稱,ERA+,tERA+,總出賽數,季末出賽
鋼龍,124.3,115.4,2,0
艾璞樂,107.5,99.8,2,1
伍鐸,146.0,135.5,2,0
曹祐齊,94.4,87.6,2,1
徐若熙,168.0,155.9,2,1
龍聖,110.6,102.6,1,0
張景淯,89.4,83.0,1,1
