投手名稱,ERA+,tERA+,總出賽數,季末出賽
笠原祥太郎,115.5,130.3,1,0
陳柏清,103.9,117.3,1,0
伍祐城,131.6,148.5,1,0
江承諺,106.8,120.5,2,0
哈瑪星,129.8,146.5,1,0
施子謙,68.8,77.7,2,0
小野寺賢人,158.8,179.2,1,0
陳宇宏,81.5,92.0,2,0
張喜凱,17.0,19.2,1,1
