投手名稱,ERA+,tERA+,總出賽數,季末出賽
艾速特,154.7,158.9,4,0
後勁,182.4,187.3,2,0
吉田一将,67.6,69.4,1,0
江承諺,81.1,83.2,4,0
那瑪夏,82.2,84.4,1,0
