投手名稱,ERA+,tERA+,總出賽數,季末出賽數
後勁,182.4,187.3,2,0
艾速特,154.7,158.9,4,1
江承諺,81.1,83.2,3,1
石萬金,67.4,69.2,2,0
黃子豪,44.3,45.4,1,0
