投手名稱,ERA+,tERA+,總出賽數,季末出賽
羅戈,169.6,172.2,11,4
陳仕朋,99.7,101.2,8,3
布藍登,68.6,69.6,1,0
江國豪,73.5,74.6,3,1
黃保羅,87.4,88.7,8,1
杰戈,152.8,155.1,5,0
鑀龍,166.1,168.6,9,4
江少慶,230.9,234.4,4,1
班恩,96.2,97.6,6,3
李東洺,86.7,88.0,2,2
