投手名稱,ERA+,tERA+,總出賽數,季末出賽
伍鐸,109.9,101.3,2,0
艾璞樂,133.4,123.0,1,0
徐若熙,148.3,136.7,1,0
王維中,92.1,84.9,3,0
鋼龍,122.9,113.3,2,0
吳俊杰,57.2,52.7,2,0
郭郁政,75.4,69.5,1,0
