投手名稱,ERA+,tERA+,出賽場數
力亞士,92.0,103.7,12
張奕,64.6,72.8,7
魔力藍,115.8,130.6,11
黃保羅,82.9,93.4,11
李東洺,76.3,86.0,10
銳歐,57.5,64.8,2
陳仕朋,63.0,71.0,4
布坎南,177.1,199.6,3
